# upload-bib-papers.sh paper list — generated by
# scripts/gen-bib-papers-list.py. Regenerate after
# bib changes:  python3 scripts/gen-bib-papers-list.py
#
# Format: <url>|<target-filename>|<description>
# Lines starting with # are comments (skipped).

# ─── Hand-curated free-access entries ───
https://web.stanford.edu/~boyd/cvxbook/bv_cvxbook.pdf|boyd-vandenberghe-2004-convex-optimization.pdf|Boyd & Vandenberghe, Convex Optimization (CUP 2004) — free PDF from author's Stanford page; references.ts key boyd-vandenberghe-2004
https://physics.nist.gov/cuu/Constants/Table/allascii.txt|codata-2022-constants.txt|CODATA 2022 fundamental physical constants (NIST ASCII table) — used by QOU's substrate-derived predictions
https://arxiv.org/pdf/1503.00315|berarducci-mantova-2018-surreal-derivations.pdf|Berarducci & Mantova, Surreal numbers, derivations and transseries (JEMS 2018) — arXiv:1503.00315; references.ts key berarducci2018
https://arxiv.org/pdf/hep-th/9310070|faddeev-kashaev-1994-quantum-dilogarithm.pdf|Faddeev & Kashaev, Quantum dilogarithm (Mod. Phys. Lett. A 1994) — arXiv:hep-th/9310070; references.ts key faddeev_kashaev1994

# ─── Auto-extracted from references.ts URL field ───
https://arxiv.org/pdf/math/0311489|kronheimer2004.pdf|references.ts id=kronheimer2004; Witten's conjecture and Property P (source: https://arxiv.org/abs/math/0311489)
https://arxiv.org/pdf/0905.0465|lurie2009.pdf|references.ts id=lurie2009; On the classification of topological field theories (source: https://arxiv.org/abs/0905.0465)
https://arxiv.org/pdf/q-alg/9409028|turaev2010.pdf|references.ts id=turaev2010; Quantum Invariants of Knots and 3-Manifolds (source: https://arxiv.org/abs/q-alg/9409028)
https://arxiv.org/pdf/1001.2933|witten2011.pdf|references.ts id=witten2011; Analytic Continuation Of Chern-Simons Theory (source: https://arxiv.org/abs/1001.2933)
https://arxiv.org/pdf/0801.0083|yekutieli2010.pdf|references.ts id=yekutieli2010; Central Extensions of Gerbes (source: https://arxiv.org/abs/0801.0083)
https://arxiv.org/pdf/0801.3233|yekutieli2008.pdf|references.ts id=yekutieli2008; Twisted Deformation Quantization of Algebraic Varieties (Sur (source: https://arxiv.org/abs/0801.3233)
https://arxiv.org/pdf/1007.1250|yekutieli2015.pdf|references.ts id=yekutieli2015; Nonabelian Multiplicative Integration on Surfaces (source: https://arxiv.org/abs/1007.1250)
https://arxiv.org/pdf/1103.1035|yekutieli2009.pdf|references.ts id=yekutieli2009; MC Elements in Pronilpotent DG Lie Algebras (source: https://arxiv.org/abs/1103.1035)
https://arxiv.org/pdf/0905.0731|freed2010.pdf|references.ts id=freed2010; Topological quantum field theories from compact Lie groups (source: https://arxiv.org/abs/0905.0731)
https://arxiv.org/pdf/math/0409565|leitnerpawloski2004.pdf|references.ts id=leitnerpawloski2004; On the morphisms of non-commutative formal groups (source: https://arxiv.org/abs/math/0409565)
https://arxiv.org/pdf/hep-th/9408041|faddeev1994.pdf|references.ts id=faddeev1994; Current-like variables in massive and massless integrable mo (source: https://arxiv.org/abs/hep-th/9408041)
https://arxiv.org/pdf/math/0007054|frenkel2004.pdf|references.ts id=frenkel2004; Vertex Algebras and Algebraic Curves (source: https://arxiv.org/abs/math/0007054)
https://arxiv.org/pdf/math/0307200|baez2004.pdf|references.ts id=baez2004; Higher-dimensional algebra V: 2-groups (source: https://arxiv.org/abs/math/0307200)
https://archive.org/download/physicsphilosoph00heis/physicsphilosoph00heis.pdf|heisenberg1958.pdf|references.ts id=heisenberg1958; Physics and Philosophy: The Revolution in Modern Science (source: https://archive.org/details/physicsphilosoph00heis)
https://arxiv.org/pdf/math/0505219|habiro2002.pdf|references.ts id=habiro2002; Bottom tangles and universal invariants (source: https://arxiv.org/abs/math/0505219)
https://arxiv.org/pdf/math/0605314|habiro2004.pdf|references.ts id=habiro2004; A unified Witten-Reshetikhin-Turaev invariant for integral h (source: https://arxiv.org/abs/math/0605314)
https://arxiv.org/pdf/cond-mat/9912015|madison2000.pdf|references.ts id=madison2000; Vortex formation in a stirred Bose-Einstein condensate (source: https://arxiv.org/abs/cond-mat/9912015)
https://arxiv.org/pdf/0801.2952|fetter2009.pdf|references.ts id=fetter2009; Rotating trapped Bose-Einstein condensates (source: https://arxiv.org/abs/0801.2952)
https://arxiv.org/pdf/2106.09716|navon2021.pdf|references.ts id=navon2021; Quantum gases in optical boxes (source: https://arxiv.org/abs/2106.09716)
https://arxiv.org/pdf/1801.06951|gauthier2019.pdf|references.ts id=gauthier2019; Giant vortex clusters in a two-dimensional quantum fluid (source: https://arxiv.org/abs/1801.06951)
https://arxiv.org/pdf/1404.6513|scheeler2014.pdf|references.ts id=scheeler2014; Helicity conservation by flow across scales in reconnecting  (source: https://arxiv.org/abs/1404.6513)
https://arxiv.org/pdf/hep-ex/0107013|aubert2001.pdf|references.ts id=aubert2001; Observation of CP Violation in the $B^0$ Meson System (source: https://arxiv.org/abs/hep-ex/0107013)
https://arxiv.org/pdf/quant-ph/0101025|freedman2003.pdf|references.ts id=freedman2003; Topological Quantum Computation (source: https://arxiv.org/abs/quant-ph/0101025)
https://arxiv.org/pdf/quant-ph/9710043|margolus1998.pdf|references.ts id=margolus1998; The Maximum Speed of Dynamical Evolution (source: https://arxiv.org/abs/quant-ph/9710043)
https://arxiv.org/pdf/quant-ph/9908043|lloyd2000.pdf|references.ts id=lloyd2000; Ultimate Physical Limits to Computation (source: https://arxiv.org/abs/quant-ph/9908043)
https://arxiv.org/pdf/gr-qc/9504004|jacobson1995.pdf|references.ts id=jacobson1995; Thermodynamics of Spacetime: The Einstein Equation of State (source: https://arxiv.org/abs/gr-qc/9504004)
https://arxiv.org/pdf/math/9201282|shishikura1998.pdf|references.ts id=shishikura1998; The Hausdorff Dimension of the Boundary of the Mandelbrot Se (source: https://arxiv.org/abs/math/9201282)
https://arxiv.org/pdf/cond-mat/0506438|kitaev2006.pdf|references.ts id=kitaev2006; Anyons in an exactly solved model and beyond (source: https://arxiv.org/abs/cond-mat/0506438)
https://arxiv.org/pdf/0707.1889|nayak2008.pdf|references.ts id=nayak2008; Non-Abelian anyons and topological quantum computation (source: https://arxiv.org/abs/0707.1889)
https://archive.org/download/surlescourbesa00weil/surlescourbesa00weil.pdf|weil1948.pdf|references.ts id=weil1948; Sur les courbes algébriques et les variétés qui s'en déduise (source: https://archive.org/details/surlescourbesa00weil)
https://arxiv.org/pdf/hep-th/0512172|frenkel2007.pdf|references.ts id=frenkel2007; Lectures on the Langlands Program and Conformal Field Theory (source: https://arxiv.org/abs/hep-th/0512172)
https://arxiv.org/pdf/1701.03146|aganagic2018.pdf|references.ts id=aganagic2018; Quantum $q$-Langlands Correspondence (source: https://arxiv.org/abs/1701.03146)
https://arxiv.org/pdf/1008.1462|hu-mathas2012graded.pdf|references.ts id=hu-mathas2012graded; Graded induction for Specht modules (source: https://arxiv.org/abs/1008.1462)
https://arxiv.org/pdf/math/0401318|diaconis-ram2000.pdf|references.ts id=diaconis-ram2000; Analysis of systematic scan Metropolis algorithms using Iwah (source: https://arxiv.org/abs/math/0401318)
https://arxiv.org/pdf/2003.02730|bufetov2020.pdf|references.ts id=bufetov2020; Interacting particle systems and random walks on Hecke algeb (source: https://arxiv.org/abs/2003.02730)
https://www.numdam.org/item/PMIHES_1968__34__53_0.pdf|mostow1968.pdf|references.ts id=mostow1968; Quasi-conformal mappings in n-space and the rigidity of hype (source: https://www.numdam.org/item/PMIHES_1968__34__53_0/)
https://www.numdam.org/item/PMIHES_1982__56__5_0.pdf|gromov1982.pdf|references.ts id=gromov1982; Volume and bounded cohomology (source: https://www.numdam.org/item/PMIHES_1982__56__5_0/)
https://arxiv.org/pdf/hep-ph/0503213|bilsonthompson2005.pdf|references.ts id=bilsonthompson2005; A topological model of composite preons (source: https://arxiv.org/abs/hep-ph/0503213)
https://archive.org/download/vorlesungenber00kleiuoft/vorlesungenber00kleiuoft.pdf|klein1888.pdf|references.ts id=klein1888; Vorlesungen über das Ikosaeder und die Auflösung der Gleichu (source: https://archive.org/details/vorlesungenber00kleiuoft)
https://arxiv.org/pdf/2101.08673|finster2021.pdf|references.ts id=finster2021; The linear dynamics of wave functions in causal fermion syst (source: https://arxiv.org/abs/2101.08673)
https://arxiv.org/pdf/2111.05556|finster2022.pdf|references.ts id=finster2022; A mechanism of baryogenesis for causal fermion systems (source: https://arxiv.org/abs/2111.05556)
https://arxiv.org/pdf/2405.19254|finster2024.pdf|references.ts id=finster2024; Causal fermion systems as an effective collapse theory (source: https://arxiv.org/abs/2405.19254)
https://arxiv.org/pdf/2410.18045|dappiaggi2024.pdf|references.ts id=dappiaggi2024; Holographic mixing and Fock space dynamics of causal fermion (source: https://arxiv.org/abs/2410.18045)
https://arxiv.org/pdf/1205.4003|blitvic2012-clt.pdf|references.ts id=blitvic2012-clt; Two-Parameter Non-Commutative Central Limit Theorem (source: https://arxiv.org/abs/1205.4003)
https://www.numdam.org/item/BSMF_1965__93__333_0.pdf|pham1965.pdf|references.ts id=pham1965; Formules de Picard-Lefschetz généralisées et ramification de (source: https://www.numdam.org/item/BSMF_1965__93__333_0/)
https://oeis.org/A006752/b006752.txt|oeis-A006752.txt|references.ts id=oeis-A006752; Decimal expansion of Catalan's constant (source: https://oeis.org/A006752)
https://arxiv.org/pdf/math/0008040|carter-leal-saliola-2000.pdf|references.ts id=carter-leal-saliola-2000; Rectangle diagrams for the Lusztig cones of quantized envelo (source: https://arxiv.org/abs/math/0008040)
https://arxiv.org/pdf/math/0405508|geck-lambropoulou-2004.pdf|references.ts id=geck-lambropoulou-2004; Markov traces and knot invariants related to Iwahori-Hecke a (source: https://arxiv.org/abs/math/0405508)
https://arxiv.org/pdf/0911.4494|webster-williamson-2014-markov.pdf|references.ts id=webster-williamson-2014-markov; The geometry of Markov traces (source: https://arxiv.org/abs/0911.4494)
https://arxiv.org/pdf/1203.4538|kuhlmann-matusinski-2012.pdf|references.ts id=kuhlmann-matusinski-2012; The exponential-logarithmic equivalence classes of surreal n (source: https://arxiv.org/abs/1203.4538)
https://arxiv.org/pdf/2104.06067|jing-liu-2021.pdf|references.ts id=jing-liu-2021; On irreducible characters of the Iwahori-Hecke algebra in ty (source: https://arxiv.org/abs/2104.06067)
https://arxiv.org/pdf/math/9806163|halverson-1998-markov-weights.pdf|references.ts id=halverson-1998-markov-weights; Weights of Markov Traces on Hecke Algebras (source: https://arxiv.org/abs/math/9806163)
https://arxiv.org/pdf/math/9909088|franecki-kapranov-1999.pdf|references.ts id=franecki-kapranov-1999; The Gauss Map and a Noncompact Riemann-Roch Formula for Cons (source: https://arxiv.org/abs/math/9909088)
https://arxiv.org/pdf/math/9911033|lu-1999-canonical-bundles.pdf|references.ts id=lu-1999-canonical-bundles; On the lower bound estimates of sections of the canonical bu (source: https://arxiv.org/abs/math/9911033)

# Summary: 4 curated + 54 auto-extracted = 58 total
#          58 entries skipped (paywall/non-PDF/no URL)
#          138 entries had no URL field
